Company Name,Industry,Location,Number of Employees,Revenue (in USD),Established Year
Tech Innovators,Technology,San Francisco,500,150000000,2012
Green Fields,Agriculture,Des Moines,50,1200000,1998
Health Plus,Healthcare,Boston,200,25000000,2005
EduConnect,Education,Austin,75,4500000,2016
Urban Builders,Construction,Chicago,300,95000000,1995
Style Sphere,Fashion,New York,25,3000000,2018
SafeHome Security,Security,Dallas,120,8000000,2010
Eco Energy,Energy,Denver,100,20000000,2003
Fast Wheels,Automotive,Detroit,1000,500000000,1985
CloudCore,IT Services,Seattle,400,120000000,2014
